team,wins,total_games,win_pct
DAL,502,846,59.34
RAI,118,200,59
NWE,447,762,58.66
LAR,37,64,57.81
PIT,488,846,57.68
RAM,251,446,56.28
MIN,470,846,55.56
DEN,465,845,55.03
MIA,457,832,54.93
LAC,26,48,54.17
BAL,354,655,54.05
GNB,457,846,54.02
SFO,456,846,53.9
KAN,444,846,52.48
IND,301,575,52.35
SEA,355,691,51.37
TEN,189,368,51.36
OAK,331,646,51.24
WAS,429,846,50.71
PHI,428,846,50.59
CAR,195,400,48.75
CHI,411,846,48.58
SDG,381,798,47.74
NYG,400,846,47.28
BUF,388,846,45.86
NOR,375,818,45.84
NYJ,379,846,44.8
CIN,359,804,44.65
HOU,341,766,44.52
JAX,176,400,44
ATL,365,832,43.87
STL,293,670,43.73
CLE,344,798,43.11
ARI,175,416,42.07
DET,348,846,41.13
TAM,267,692,38.58
PHO,32,96,33.33
BOS,25,84,29.76
